stemid tag branch sp gx gy dbh status q100
012658.0 012658 0 ENGERO 38.73 391.27 29.2 A 4
012661.0 012661 0 LITSAC 39.91 393.9 10.9 A 4
012665.0 012665 0 DIOSMO 32.35 383.14 53 A 4
012666.0 012666 0 CASTCU 32.08 382.81 16.7 A 4
012672.0 012672 0 CASTCU 38.54 386.29 17.5 A 4
022114.0 022114 0 MELISQ 42.45 302.04 11.4 A 4
022119.0 022119 0 MELISQ 40.97 304.83 17.1 A 4
022120.0 022120 0 ENGERO 41.98 304.46 13.8 A 4
022125.0 022125 0 RANDCO 43.59 303.66 11.1 A 4
022128.0 022128 0 DIOSMO 44.6 303.19 16.5 A 4
022134.0 022134 0 RANDCO 41.12 309.61 9.7 A 4
022135.0 022135 0 PYRESH 40.49 309.7 23.8 A 4
022136.0 022136 0 DIOSMO 41.8 309.78 13.6 A 4
022143.0 022143 0 MELISQ 43.59 306.25 10.3 A 4
022149.0 022149 0 LIMLUR 45.79 308.77 27.9 A 4
022150.0 022150 0 MELISQ 45.99 309.54 19 A 4
022151.0 022151 0 MYRSSE 46.17 309.64 14 A 4
022153.0 022153 0 LIMLUR 47.18 309.84 15.4 A 4
022158.0 022158 0 MYRIRU 48.09 309.13 44.9 A 4
022160.0 022160 0 CINNMI 49.04 306.16 51.8 A 4
022170.0 022170 0 MELISQ 47.76 302.83 13.9 A 4
022171.0 022171 0 PYRESH 45.46 301.26 11.1 A 4
022181.0 022181 0 SYMPTH 48.33 304.04 13.5 A 4
022186.0 022186 0 CASTCU 49.42 302.97 37.7 A 4
022192.0 022192 0 LIMLUR 49.72 301.97 17.9 A 4
022203.0 022203 0 CASTCU 42.07 311.36 11.2 A 4
022222.0 022222 0 GLOCAC 41.29 318.31 13.5 A 4
022225.0 022225 0 ELAEJA 40.78 319.6 11.8 A 4
022230.0 022230 0 MELISQ 42.96 315.79 26.1 A 4
022234.0 022234 0 SCHEOC 48.96 316.44 30.2 A 4
022238.0 022238 0 DIOSMO 48.53 311.26 23.3 A 4
022239.0 022239 0 CLEYJA 45.86 313.86 18.1 A 4
022249.0 022249 0 PYRESH 50.86 310.58 10.6 A 4
022254.0 022254 0 ENGERO 53.36 314.36 31 A 4
022257.0 022257 0 CASTCU 53.28 311.06 16.7 A 4
022258.0 022258 0 CYCLLO 51.94 316.46 14.8 A 4
022263.0 022263 0 LITSAC 53.67 316.56 22.4 A 4
022267.0 022267 0 LITSAC 58.64 318.94 27.8 A 4
022268.0 022268 0 MACHMU 59.21 317.28 13.4 A 4
022270.0 022270 0 MELISQ 55.58 310.65 18.5 A 4
022274.0 022274 0 MACHZU 59.06 311.74 31.9 A 4
022275.0 022275 0 ENGERO 58.42 311.91 17.2 A 4
022278.0 022278 0 ILEXPU 57.31 310.68 9.7 A 4
022280.0 022280 0 SCHEOC 50.93 301.09 9.8 A 4
022281.0 022281 0 SYMPTH 51.07 301.09 18.8 A 4
022290.0 022290 0 LIMLUR 54.04 303.09 63.5 A 4
022294.0 022294 0 CASTCU 53.22 300.68 18.1 A 4
022301.0 022301 0 PYRESH 51.12 308.65 10.8 A 4
022312.0 022312 0 CLEYJA 54.61 305.39 29 A 4
022326.0 022326 0 MACHTH 58 309.33 30.1 A 4
022328.0 022328 0 CASTCU 59.64 307.92 32.8 A 4
022334.0 022334 0 LIMLUR 56.41 300.57 26.4 A 4
022351.0 022351 0 RANDCO 57.72 302.6 11.8 A 4
022355.0 022355 0 ELAEJA 59.13 300.32 13.4 A 4
022356.0 022356 0 MACHZU 40.99 320.44 27.3 A 4
022357.0 022357 0 MELISQ 41.47 320.95 17.5 A 4
022358.0 022358 0 CASTCU 40.78 321.32 18.2 A 4
022363.0 022363 0 ENGERO 41.3 323.45 15 A 4
022366.0 022366 0 PYRESH 44 320.75 23.6 A 4
022367.0 022367 0 MACHMU 40.46 326.22 17.5 A 4
022371.0 022371 0 MACHMU 41.2 329.61 18.3 A 4
022374.0 022374 0 ELAEJA 43.78 328.99 14.9 A 4
022376.0 022376 0 RANDCO 46.41 326.06 12.8 A 4
022377.0 022377 0 ENGERO 48.59 328.66 15.1 A 4
022380.0 022380 0 MACHTH 49.75 326.76 11.8 A 4
022383.0 022383 0 MACHMU 46.15 320.99 12.9 A 4
022387.0 022387 0 SYMPTH 47.78 322.78 10.1 A 4
022389.0 022389 0 ENGERO 49.74 321.15 15.5 A 4
022398.0 022398 0 MACHMU 41.05 335.51 19 A 4
022411.0 022411 0 LITSAC 44.26 336.84 13.3 A 4
022417.0 022417 0 CASTCU 47.82 338.65 19.8 A 4
022418.0 022418 0 MELISQ 49.42 334.77 30 A 4
022421.0 022421 0 MACHMU 46.36 333.83 36.9 A 4
022424.0 022424 0 CASTCU 50.45 330.76 13.5 A 4
022426.0 022426 0 CYCLLO 51.84 331.83 9.9 A 4
022434.0 022434 0 MACHTH 52.95 331.63 21.6 A 4
022437.0 022437 0 CLEYJA 52.68 335.45 16.7 A 4
022447.0 022447 0 CASTCU 53.99 339.33 23.1 A 4
022452.0 022452 0 DIOSMO 53.97 337.08 29.3 A 4
022459.0 022459 0 CASTCU 53.37 336.46 29.5 A 4
022472.0 022472 0 CASTCU 56.29 339.34 31 A 4
022473.0 022473 0 ELAEJA 56.71 339.98 27.3 A 4
022480.0 022480 0 CLEYJA 58.15 336.76 13 A 4
022482.0 022482 0 CYCLLO 56.67 335.27 13.9 A 4
022486.0 022486 0 MACHTH 56.34 332.55 20 A 4
022493.0 022493 0 MACHTH 52.49 321.23 36.7 A 4
022497.0 022497 0 MACHMU 51.06 324.93 14.6 A 4
022500.0 022500 0 ENGERO 54.79 321.12 17.5 A 4
022502.0 022502 0 CINNAU 51.37 325.34 12.2 A 4
022503.0 022503 0 LITSAC 51.56 326.54 28.5 A 4
022515.0 022515 0 ENGERO 54.33 328.25 15.6 A 4
022524.0 022524 0 CASTCU 58.6 326.47 15.5 A 4
022528.0 022528 0 DIOSMO 56.2 328.86 33.3 A 4
022539.0 022539 0 CINNMI 40.88 343.86 31.5 A 4
022540.0 022540 0 PRUNPH 43.11 344.16 16.2 A 4
022542.0 022542 0 RANDCO 44.78 345.35 12.5 A 4
022546.0 022546 0 MACHTH 40.71 349 12.6 A 4
022548.0 022548 0 CINNMI 44.3 349.43 17 A 4
022549.0 022549 0 PYRESH 44.4 349.64 15.4 A 4
022553.0 022553 0 MELISQ 44.11 347.34 22 A 4
022560.0 022560 0 ADINFO 45.29 349.84 13.3 A 4
022567.0 022567 0 DIOSMO 46.78 343.97 33.3 A 4
022568.0 022568 0 LITSAC 47.83 342.89 15.9 A 4
022571.0 022571 0 ELAEJA 49.24 341.79 19.2 A 4
022572.0 022572 0 ELAEJA 47.46 341.47 21.8 A 4
022573.0 022573 0 GLOCAC 49.34 340.57 14.4 A 4
